,Night on Earth,Inside Out (Alles steht Kopf),Apocalypse Now,The Lord of the Rings,The Big Lebowski,The Great Beauty,Avatar,Toy Story,Black Hawk down,Titanic,Guardians of the Galaxy,Kill Bill,Top Gun,Catch me if you can
Carmine,3.5,4,5,5,3,5,5,,,2.5,3.5,,,
Alan,,,4,4,5,,3,3,4,3,,5,5,3
Caoimhe,,5,,5,5,,2,4,,3,4,4,,
Christoph,,,,5,3,4,,4,,3,,5,,5
David,,5,,3,5,,3,2,,2,4,4,2,
Dina,,5,,5,,,4,4,3,5,5,5,2,
Felix,5,,,,5,,,1,,3,,,1,4
Florian,,,4,3,3,,3,3,4,4,,3,2,4
Hayri,,,,5,,,5,,,5,4,4,3,5
Lijana,,,4,4,4,,,,,4,2.5,4,2.5,4
Marija,5,5,,3,4,,2,5,,2,,,,
Mohammad,5,3.5,5,3,,,3,,3,5,3,4,5,5
Noah,,,,,,,,,,,,,,
Philipp,,,,5,4,,3,3,,2,2,5,,4
Tiago,5,5,,,1,1,,,,5,,,,
Viswa,2.5,3,4,5,,5,5,4,3,5,5,4,5,4